# Module | Feature | Petpooja capability (source) | AppZet status | AppZet evidence | Gap | Dependency | Business importance | Complexity | Phase | Recommended approach
# Status: EXISTING/PARTIAL/NOT FOUND/UNKNOWN. Gap: NONE/MINOR/MODERATE/MAJOR/CRITICAL. Phases: P1 Foundation, P2 Engagement, P3 Ecosystem, P4 Multi-outlet, P5 Enterprise+AI. Complexity: S<1wk, M 1-4wk, L 1-3mo, XL >3mo (rough, one team).
Billing | Dine-in / takeaway / delivery order types | Stated: billing and QSR pages [[PO]] | EXISTING | sales_type dine_in 70, pick_up 4, delivery 3 [[V]] | NONE | - | High | S | P1 | Keep; add an explicit counter-billing mode
Billing | Table transfer | Not described on official pages [[UNK]] | EXISTING | AcnooTableSaleController::moveTable [[V]] | NONE | - | Medium | S | P1 | Keep
Billing | Table merge | Not described on official pages [[UNK]] | NOT FOUND | Only a modal file named marge; no server method [[V]] | MODERATE | Sale/KOT re-parenting | Medium | M | P1 | Merge sale_details and KOT tickets into the target sale in one transaction; free source table
Billing | Split bill | Not described on official pages [[UNK]] | NOT FOUND | No split logic in sale controllers [[V]] | MAJOR | sale_payments + child-bill model | High | M | P1 | Split by item or guest into linked child sales; totals must reconcile to parent
Billing | Multiple payment modes on one bill | Payment modes and UPI/EDC stated [[PO]]; multi-tender per bill not stated | NOT FOUND | sales.payment_type_id is a single FK [[V]] | MAJOR | New sale_payments table | High | M | P1 | Add sale_payments (sale_id, payment_type_id, amount, reference); keep legacy column for reports
Billing | Discounts and coupons | Stated: discounts by service type [[PO]] | EXISTING | discountAmount/Percentage, coupons [[V]] | MINOR | Coupon code is globally unique [[V]] | Medium | S | P1 | Make coupon code unique per business_id
Billing | GST split (CGST/SGST/IGST), HSN, GSTIN on invoice | Taxes configurable by region stated [[PO]]; GST specifics [[UNK]] | PARTIAL | One tax_id per sale; vat_name/vat_no only; no HSN [[V]] | MAJOR | Tax model, invoice template | High | M | P1 | Per-line tax with tax-group components; store GSTIN on business/outlet; print split on invoice
Billing | Service charge | Service tax rates per dine-in area stated [[PO]] | NOT FOUND | No column or setting [[V]] | MAJOR | Charges model | High | S | P1 | Add bill_charges (service, packaging, delivery, tip) as first-class rows with tax treatment
Billing | Packaging / container charge | Aggregator packaging updates stated [[PO]] | NOT FOUND | No column or setting [[V]] | MODERATE | Charges model | Medium | S | P1 | Same charges table; per-item and per-order modes
Billing | Round-off | Not stated [[UNK]] | EXISTING | sale_rounding_option setting [[V]] | NONE | - | Low | S | P1 | Keep
Billing | Refund / credit note | Not stated [[UNK]] | NOT FOUND | No refund controller or table [[V]] | MODERATE | Payments + audit | Medium | M | P1 | Credit-note document linked to sale; reverse stock and payment entries
Billing | Bill modification and cancellation with audit trail | Bill-modification and cancelled-order reports named [[PO]] | NOT FOUND | No audit log package or table [[V]] | MAJOR | Audit log | High | M | P1 | Append-only audit_logs; mandatory reason for post-KOT edits and voids; permission gated
Billing | E-bill sent to customer (message) | E-bill messaging stated [[PO]] | NOT FOUND | No SMS or WhatsApp code [[V]] | MAJOR | WhatsApp/SMS service | High | M | P2 | WhatsApp utility-template bill with PDF/link; email as fallback
